용어,설명
붕소,"붕소생명과학대사전 원소기호 B, 원자번호 5, 원자량 10.811. 주기표의 13(3B)족에 속하는 원소이다. 흑회색(黑灰色) 금속광택이 있는 고체인데, 경도(硬度)가 9.3로서 다이아몬드(diamond)다음으로 경도가 크다. 상온에서는 진성반도체(眞性半導體)이지만 고온에서는 도체가 된다. 음성(陰性)인 원소와 화합물내 산화수는 통상＋Ⅲ이지만 붕소화합물 중에는 그 조성이 이 산화수에 따르지 않는 것이"
만조,"고조선박항해용어사전 조석으로 인하여 해면이 가장 높아진 상태를 말한다. 고조에서 다음 고조까지의 시간 간격은 평균 12시간 25분으로 매일 약 50분씩 늦어진다. 만조라고도 한다. 저조에서 고조로 되기까지 해면이 점차 높아지는 상태를 창조(flood tide)라 하고, 고조에서 저조로 되기까지 해면이 점차 낮아지는 상태를 낙조(ebb tide)라고 한다. 그리고 고조와 저조 때에는 해수면의 승강운동이"
"선무방송 [宣撫放送, consolidation broadcast]","선무심리전을 돕는 것으로서, 통상 점령지역에 있는 방송시설이나 이동방송시설을 통해서 군사작전을 지원할 목적으로 작전 전후를 통해서 실시하는 것."
게발트 [gewalt],독일어의 폭력이라는 뜻.
농도,"농도농업용어사전: 농촌진흥청 일정량의 용액속에 존재하는 용질의 비율을 말함. 일반적으로 퍼센트[％] , 물농도[mol/l] , 규정도[그램 당량/l] 등외에, 특히 대기오염, 수질오염의 분석 관계에서는 ppm이나 mg/l 등이 사용됨. 외국어 표기 concentration(영어), 濃度(한자), のうど(일본어) 농도환경공학용어사전 일정량의 농액 속에 존재하는 용질의 비율을 말한다. 일반적으로 퍼센트[%], 몰농도[㏖/ℓ],"
격벽,"격벽기계공학용어사전 선체(船體)의 내부를 몇 개의 구획으로 나누는 칸막이벽을 말한다. 격벽을 기능에 따라 분류하면, 수밀(水密) 격벽, 비수멜(非水密) 격벽, 유밀(油密) 격벽, 칸막이 격벽, 제수(制水) 격벽 등으로 나뉜다. 외국어 표기 bulkhead(영어), 隔壁(한자) 격벽군사용어사전 선내를 여러 칸으로 가로 세로로 막는 칸막이. 외국어 표기 隔璧(한자)..."
"부대단위 [部隊單位, Unit]","분대, 반, 소대, 중대, 대대, 연대(단), 여단, 사단, 군단, 군사령부 및 비표준화 부대로 구분. 다만, 부대의 특수성을 감안하여 중대 와 대대, 대대와 연대의 중간규모 부대를 두며 임무와 성격에 따라 부대명칭을 부여함."
"방어준비태세 [防禦準備態勢, Defense Readiness Condition]",당면한 상황에 대처할 목적으로 부대를 일정한 준비태세로 유지시키는 것. 이는 4단계로 구분되고 상황이 긴박하게 진전됨에 따라 높은 단계로 전환하며 세부절차는 부대예규로 규정.
가동률,"가동률중소벤처기업부 전문용어 생산설비가 어느 정도 이용되는지를 나타내는 지표로서 사업체가 주어진 조건(설비, 노동, 생산효율등)하에서 정상적으로 가동하였을 때 생산할 수 있는 최대 생산량(=생산능력)에 대한 실제 생산량의 비율을 말하며, 개별기업의 생산설비에 따라 차이는 있지만 통상 가동률이 80% 이상이면 정상 가동 상태를 의미한..."
전복,"전복경찰학사전 헌법에 의하여 설치된 국가기관을 강압에 의하여 변혁시키거나 기능을 저하시키는 것을 말한다. 전복의 형태로는 국가전복과 정부전복이 있으며, 전복의 수단으로는 전위당 조직, 통일전선 구축, 선전과 선동, 파업과 폭동, 게릴라 전술, 테러전술 등이 있다. 외국어 표기 顚覆(한자), Subvesion(영어) 전복군사용어사전 군사, 경제, 심리..."
"화생방보고 [化生放報告, NBC-Report]",적이나 미지의 화생방 공격으로 야기될 오염을 보고하기 위한 표준화 양식에는 다음과 같은 것이 있음. NBC-1 : 관측자 최초 보고. NBC-2 : 평가 제원 보고. NBC-3 : 예상 오염지역 보고. NBC-4 : 정찰 보고(화학 및 방사능). NBC-5 : 오염지역 보고. NBC-6 : 화·생 정밀보고.
"시제품 [Prototype, 試製品]","시제품IT용어사전 ①새로운 컴퓨터 시스템이나 소프트웨어의 설계 또는 성능, 구현 가능성, 운용 가능성을 평가하거나 요구 사항을 좀 더 잘 이해하고 결정하기 위하여 전체적인 기능을 간략한 형태로 구현한 초기 모델. ②하드웨어 또는 소프트웨어 시스템 개발의 어느 단계에서, 다음 단계 또는 최종적인 실용 시스템에서 사용될 모델로서 기능하는..."
산화제,"산화제간호학대사전 산화작용을 가지는 물질을 말하는데, 일반적으로 산소를 주는 것, 수소를 빼앗는 것, 정(正)의 산화수(酸化數)를 증대시키는 것, 즉 전자를 빼앗는 것이란 의미에서 탈전자제(脫電子劑)라고도 일컬어지며 통상 과망간산(염), 크롬산 및 관련물질, 질산 및 관련화합물, 할로겐, 과산화물, 황산류, 산소산염 등이 사용된다. 외국어 표기..."
"배속 [配屬, Attachment]","한 편성체에 부대나 인원을 일시적으로 배치하는 것으로서, 그러한 배치는 비교적으로 임시적인 것임. 피배속부대 지휘관은 명령에 의거 부과되는 제한사항에 따르며, 배속자들을 받아들이는 부대. 단위부대 또는 편성체의 지휘관은 편성된 인원에 대해서와 정도가 동일한 지휘관 및 통제권을 배속인원에 대해서 행사하게 됨. 그러나 그 인원의 전속..."
지휘,"지휘교육학용어사전 조직 구성원들에게 각자의 일을 시키는 행동. 지시(commanding) 또는 영향(influencing)이라는 용어로도 쓰인다. 즉, 지휘란 권한을 이용해서 영향력을 행사하는 하나의 방법으로서 권위의 행사뿐만 아니라 교육과 설득(說得) 및 협의와 참여를 토대로 하는 협동적 방법이 강조되고 있는 바 집단의 노력을 유도하는 설득과 협력의..."
"자주포 [自走砲, Self-Propelled Artillery]","1. 차량 위에 탑재된 야포로서 차량에 탑재된 채로 운반되고 또한 사격할 수 있게 된 기동성 있는 포. 2. 자주포가 전차와 다른 점은 장갑이 얇고 중량이 비교적 가벼우며, 포는 360도 회전이 불가능하고 자위대책이 미약함. 3. 포의 구경이 203㎜에 이르기까지 다양하였으나 현재는 150㎜급이 주력화 되고 있다."
"청음초 [聽音哨, Listening Post]",첩보 또는 적 행동에 대한 적시적절한 경고가 될 음향을 청취할 목적으로 야간에 방어선 전방에 배치되는 경계초소.
"원자량 [atomic weight, 原子量, げんしりょう]","원자량과학사사전 한 원소의 상대적인 질량으로서 탄소의 특정 동위원소 C12을 기준으로 측정한다. 동위원소를 발견하기 전에는 프라우트 가설(Prout's hypothesis)의 이상(anomalies)을 설명하기 어려웠다. 프라우트 가설에서는 수소를 1로 기준했을 때 정수배로 표현될 수 있었다. 외국어 표기 atomic weight(영어), 原子量(한자) 분류 화학 참조어 원자..."
"교범 [敎範, manual]","군사방침, 전술, 기술, 교육훈련 등에 따르는 지시와 장비, 검사 등 참고사항을 기술한 간행물로써 야전교범(FM)과 기술교범(TM)이 있음."
반동,"반동체육학대사전 발사할 때의 총의 반동을 말함. 자동총에서는 이것을 다음 탄환 장전의 에너지로 이용하는 것이 많다. 외국어 표기 反動(한자) 분야 사격, 사냥 반동군사용어사전 총포의 폭발 순간에 가스 작용으로 일어나는 후퇴 운동. 외국어 표기 反動(한자), impact of recoil(영어)"
"공정부대 [Airborne Force, sky troops, 空挺部隊]","공정부대군사용어사전 공수착륙이나 공중투하로써 전투지대에 투입되어 전투작전을 수행할 목적으로 편성되어 장비를 갖추고 훈련된 부대로써 지상군과 공군으로 구성됨. 공정부대군사용어사전 주로 공중으로부터 강습 착륙할 목적으로 편성, 장비되고 훈련된 지상부대."
전자기파,"전자파광용어사전 자계를 따라 파동으로서 공간을 전파(傳播)하는 진동 전계. 전자파의 전반은 맥스웰의 방정식에서 이끌 수 있고 진공 중의 평면파는 광속도로 전반하며 전계와 자계의 진동 방향은 서로 수직이고, 또한 전파 방향과도 수직이다. 파장이 긴 것부터 차례로 좁은 뜻의 전자파(단순히 전파라고도 한다), 적외선, 가시광, 자외선, X선, γ선으..."
"해상박명종 [海上薄明終, End of Evening Nautical Twilight]",제한된 가시한계를 위하여 일출전이나 일몰후 태양이 수평선하 12도에 있을 때의 시간으로 군사상 가치가 있음. 일출전 시간을 해상박명초(Beginning Morning Nautical Twilight)라 하고 일몰후 시간을 해상박명종이라 함.
국가안전보장,"국가안전보장군사용어사전 국내외의 각종 군사, 비군사적 위협으로부터 국가목표를 달성하기 위하여 정치, 외교, 경제, 사회, 문화, 군사, 과학기술 등의 제 수 단을 종합적으로 운용함으로써 당면하고 있는 위협을 효과적으로 배제하고 또한 일어날 수 있는 위협의 발생을 미연에 방지하며 나아가 불의의 사태에 적절히 대처하는 것. 외국어 표기 國家..."
"국지경계부대 [局地警戒部隊, Local Security Element]",전투임무를 수행하고 있는 부대가 적의 공격 또는 기습으로부터 부대를 방호하고 적의 접근을 경고하여 주력부대가 전투태세를 갖출 수 있도록 경계활동을 위하여 운용하는 소규모의 경계부대.
"등화관제 [燈火管制, Blackout]",적 특히 적의 항공기로부터 관측을 방해하기 위하여 모든 불빛을 차폐하거나 전등을 소등하여 적의 목표발견을 방해하기 위한 활동.
"광통신 [optical communication, 光通信, ひかりつうしん]",광통신IT용어사전 통신 시스템의 물리적 전송 회선으로 빛을 사용한 것. 보통 광섬유 케이블로 레이저 광선을 전송하여 통신이 이루어진다. 빛은 전파에 비해 대역폭이 훨씬 넓기 때문에 적은 가닥의 회선으로도 다량의 정보를 고속으로 전송할 수 있어 종합 정보 통신망(ISDN)의 핵심적인 기술이 되고 있다. 외국어 표기 optical communication(영어)...
콜로이드,"콜로이드도금기술 용어사전 입자가 작아지면 주위의 가스 또는 액체의 분자운동에 영향을 받아 불규칙한 지그재그운동(브라운 운동이라고 한다)을 하게 된다. 이와 같은 입자를 콜로이드 입자라고 하고, 크기는 0.001~1㎛ 정도이다. 브라운 운동을 하기 때문에 일정한 장소의 입자농도가 변동하여 입자농도가 높은 쪽에서 낮은 쪽으로 확산한다. 콜..."
"유효풍향 [有效風向, Effective Downwind Direction]","예측된 낙진지역의 중간선까지 도북 방위각을 도 또는 밀위(원둘레의 1/6,000길이에 해당하는 중심각)로 나타낸 각. 이는 간이 낙진예측에 사용함."
"우선정보요구 [優先情報要求, Priority Intelligence Requirements]",지휘관이 부여된 임무수행을 위해 가장 시급하고 우선적으로 요구되는 정보로서 계획수립과 결심수립에 지배적인 요소가 되는 적 능력 및 전장환경과 관련되는 정보사항임.
"강평 [講評, Critique]","과오를 지적하며, 성공적인 임무수행과 목적 달성을 위하여 교육, 훈련, 기타 활동에 대하여 그 결과를 평가하고, 군사연습이나 작전을 토의하고 심사하는 것."
"비행대대 [飛行大隊, Squadron]","1. 해군, 공군 및 해병대의 항공부대에 있어서의 기본적인 행정 비행단위. 2. 육군에서는 항공대대(Aviation Battalion) 용어를 사용함."
"공산오차 [公算誤差, Probable Error]","탄착 중심으로부터 형성되는 사탄산포지역의 측정값으로써 포탄이 100% 떨어질 수 있는 최소거리. 거리상의 산포범위를 사거리공산오차라고 하며, 방향상의 산포범위를 편각공산오차라고 함."
"군대부호 [軍隊符號, Military Symbol]","군의 편성, 장비, 시설, 부대이동 및 활동규모, 위치 등을 간단하고 용이하게 식별하기 위하여 사용되는 것으로 도형, 숫자, 문자, 약어, 색채 등의 조합으로 구성된 기호."
"별첨 [別添, Inclosure]",본문(부첨)에 대한 부가적인 추가 서류.
"단위편성부대 [單位編成部隊, integral combat unit]",편성부대 내의 전투단위대.
"목진지 [-陣地, Choke Point]",침투하는 적의 이동을 감시 차단하고 조기에 적을 포착 섬멸하기 위하여 적이 이용할 수 있는 요점(길목)에 병력을 배치하기 위한 일종의 매복진지.
"사거리 공산오차 [射距離公算誤差, Range Error Probable, REP]","한 총포가 동일한 사격제원으로 동일한 장소에서 동일한 조건 하에 사격하였을 경우 생기는 사거리상의 오차. 사거리 공산오차는 총포의 사표에 표시되어 있으며, 그 총포의 정확성에 관한 지침으로 간주될 수 있음."
"군대부호 [軍隊符號, Military Symbol]","군의 편성, 장비, 시설, 부대이동 및 활동규모, 위치 등을 간단하고 용이하게 식별하기 위하여 사용되는 것으로 도형, 숫자, 문자, 약어, 색채 등의 조합으로 구성된 기호."
"별첨 [別添, Inclosure]",본문(부첨)에 대한 부가적인 추가 서류.
"구명정 [rescue boat, lifeboat, 救命艇]","구명정선박항해용어사전 해상에서 조난을 당하여 선박을 버리고 탈출하는 경우에 사용하는 자항능력(自航能力)을 갖춘 보트. 내부에는 신호장치, 의약품, 비상식량 등이 비치되어있다. 생존정이라고도 한다. 2명이서 5분 이내에 진수 할 수 있어야 하고 시속 6km로 24시간 연속항주 할 수 있는 연료를 갖추어야 한다. 외국어 표기 life boat(영어), survival..."
"구축함 [驅逐艦, Destroyer]","대양에서 독자적으로 작전할 수 있는 수상함정으로 순양함보다는 크기가 작고, 무장도 적게 장착하고 있으며 항속거리도 짧음. 기능은 전투, 선단호송, 함포지원 등 다양하고 대잠, 대함, 대공방어가 가능하며 호위함(FRIGATE)과 구분되는 이유로 호위함은 설계 및 기능에 있어 단순한 임무를 수행하게끔 크기가 작은 데 비해 구축함은 다양한 임무를..."
"적지종심작전 [敵地縱深作戰, Deep Operations]","적지 종심상에 항공 및 장거리 타격수단을 집중하여 공중강습 및 공정부대를 투입하여 적의 C4I 시설, 화력지원수단, 증원전력 등 전략적, 작전적 중심을 무력화하며, 적의 전투력을 조기에 분산, 혼란 및 마비시키는 작전 형태임. 적지종심작전을 위한 수단으로는 주로 항공 및 장거리 타격수단과 공중강습 및 공정부대가 운용된다. 경우에 따라서는 지..."
"사향속 [射向束, Sheaf]","2문 이상의 화포로 사격시 형성되는 요망 파열형태의 계획된 사격면으로 파열의 횡적분포를 나타냄. 포병사격시에는 평행사향속, 집중사향속, 개방사향속, 특별사향속이 있음."
"대권항로 [Great Circle Route, 大圈航路]","대권 항로Basic 중학생이 알아야 할 사회· 과학상식 지구의 중심을 통하는 원의 호를 대권이라고 하는데 지표면상의 두 지점간의 최단 코스는 이 호를 따라 있다. 이 코스가 대권 항로가 되며 북극권을 중심으로 많이 개발 되었다. 대권항로군사용어사전 대권(大圈)에 있는 두 지점간에 가장 짧은 거리를 따르는 항로. 외국어 표기 大圈航路(한자), Great..."
위기,"위기군사용어사전 대한민국과 그 영토, 국민과 군대, 소유권 혹은 이익에 위협을 주는 사건 또는 상황을 말함. 다시 말해서 국가목표를 달성하기 위하여 외교적, 정치적, 경제적 및 군사적으로 중요한 조건(Condition)이 조성되어 군대 및 자원의 투입이 요구되는 사건이나 상황을 말함. 외국어 표기 危機(한자), Crisis(영어) 위기산업안전대사전 위기는..."
"엄폐 [掩蔽, Cover]","자연 또는 인공적인 장애물에 의하여 적의 관측과 사격으로부터 보호되는 것. 은폐는 단지 적의 관측으로부터 보호되지만, 엄폐는 관측 및 사격으로부터 동시에 보호됨."
표고,"표고농업용어사전: 농촌진흥청 ① 정점에서 밑변까지의 수직거리. ② 바다의 수준면으로부터의 수직으로의 높이. 외국어 표기 altitude(영어), 標高(한자), ひょうこう(일본어) 표고군사용어사전 지표면상 또는 지표면에 부착한 점 또는 면의 평균해면으로부터의 수직거리. 외국어 표기 標高(한자), Elevation(영어) 표고토목용어사전 어떤 점으로부터 기..."
"선무심리전 [宣撫心理戰, Consolidation Psychological Operations]",군작전을 용이하게 하고 민중간에 최대한의 협동심을 조장하려는 목표를 가지고 우군 후방지역이나 우군부대가 점령한 지역의 주민들에게 지향되는 심리전.
"견인포 [牽引砲, towed artillery]",차량에 의하여 세미트레일러를 견인하도록 설계되어 있는 차량.
"해상척후조 [海上斥候組, Scuba Team]","해상침투시 본대가 상륙하기 전에 침투시켜 상륙지역을 정찰하고, 상륙지역까지 통로를 개척하여 본대를 유도함으로써 상륙의 안전을 도모하는 요원을 말함."
"도로대화구 [道路大火口, Road Crater]","용이하게 우회할 수 없는 도로상의 한 지점에서 주로 적 차량이나 적 전차의 도로사용을 거부하기 위하여 포탄, 지뢰, 폭약 등의 폭발물을 장치하여 필요시 폭파함으로써 도로상에 깊은 폭파구를 형성하도록 한 장애물의 일종."
"후방지역작전 [後方地域作戰, Rear Area Operations]","야전군 후방지역을 포함한 그 이남지역에서 민·관·군 제 작전요소를 통합하여 적의 위협을 거부하고, 적을 격멸함으로써 아군의 전쟁지속능력을 보장하고 후방지역의 안정을 유지하는 작전."
"화학전 [化學戰, Chemical Warfare]",사람을 살상하며 군사적 이점을 획득하고 그리고 이러한 행위로부터 방어하기 위하여 화학적 물질을 사용하는 것.
"군단 [軍團, Corps]","상급부대의 작전적 목표달성에 기여하기 위하여 작전을 수행하는 최고의 전술제대로써, 상급부대로부터 수개의 사단과 각종 전투 및 전투지원부대를 배속받아 운용됨."
"공격개시시간 [攻擊開始時間, H-Hour, Time of Attack]",1. 공격이 개시되는 시간으로써 만일 공격개시선이 지정되었다면 공격부대의 선두가 공격 개시선을 통과하는 시간. 2. 어떤 작전이 개시되기 전 그 실시시간을 표시하기 위하여 H 시를 사용함.
"감쇠 [attenuation, 減衰, げんすい]","감쇠비파괴 검사 용어사전 초음파가 매질 속을 통과할 때 에너지 또는 진폭이 감소하는 현상. 즉 단위 거리 당 에너지의 손실. 감쇠의 정도는 시험 주파수, 시험체 조직의 결정입자의 크고 작음 등에 영향을 강하게 받는다. 흡수와 산란 등이 감쇠의 원인이 된다. 외국어 표기 Attenuation(영어), Sound Attenuation(영어), 減衰(한자) 사용분야 Ultrasonic T..."
"완수신호 [腕手信號, Visual Signal]","명령과 간단한 통신문을 전달하기 위하여 손과 팔로써 하는 신호. 이 신호는 사격제원 혹은 명령 중의 간단한 변경사항, 차량 및 인원의 이동, 지휘 혹은 훈련과 전투를 위하여 사용됨."
"발사 [launch, launching, 發射]","발사천문학 작은사전 인공위성을 궤도에 올리거나 우주선을 우주공간에 보내기 위해서, 이러한 것을 탑재한 로켓(launch vehicle)을 쏘아올리는 일. 또한 발사용 로켓이 발사대에서 이탈되어 수직으로 상승하는 것을 리프트 오프라고 한다. 외국어 표기 launch(영어) 발사군사용어사전 미사일, 어뢰 등이 정지 상태에서 운동 상태로 이행하는 순간..."
패혈증,"패혈증영양학사전 화농균이 혈액이나 임파액 속으로 들어가 심한 중독 현상이나 급성염증을 일으키는 병. 신체의 조직에 세균감염의 병소가 있어, 그곳으로부터 세균이 혈액 중에 흐르기 시작하여, 생체의 방어능력이 약하다든가, 세균의 독성이 강할 때, 다른 조직으로 전이하여 병소를 만들어 간다. 심한 전신감염증이다. 최근에는 항생제의 발달로..."
"경수 [hard water, 硬水, こうすい]","경수간호학대사전 지질에서 유래하는 수중의 칼슘ㆍ마그네슘의 이온량을 이에 대응하는 탄산칼슘의 ppm으로 표시할 때 이 값이 큰 물을 경도가 높다(경수)고 한다. 경수에 비누를 가하면 칼슘염, 마그네슘염의 침전이 생기므로 세탁에는 적합하지 않다. 수도물의 수질기준에서는 경도를 300㎎/ℓ 이하로 하고 있다. 외국어 표기 hard water(영어), 硬..."
"기온경도 [氣溫傾度, Temperature Gradient]","두 공기층에 있어서의 기온차이를 나타낸 것으로써 지상 4m의 기온과 지상 0.5m에서 측정된 기온을 비교함으로써 결정함. 화학작용제 효과계산에 있어서 기온경도 예측은 역전, 체감 및 중립상태로 구분함."
의장,"의장선박항해용어사전 선박의 정상적인 항해기능을 갖추기 위하여 선각(船殼)에 설치하는 항해와 관련된 제반 설비를 말한다. 기관에서 시작하여 항해기기, 하역설비, 접안설비 등이 이에 포함되어 있다. 선박의 크기에 따라 의장수를 결정하여 적합한 규격의 설비를 설치해야한다. 외국어 표기 outfit(영어), fitting(영어), equipment(영어), 艤裝(한자)..."
"견부진지 [肩部陣地, Shoulder Critical Point]",1. 전방 및 측후방을 통제할 수 있고 적의 진출에 있어서 필히 확보되지 않으면 안 되는 요충지. 2. 살상지역을 형성할 수 있고 차후작전을 유리하게 하도록 하는 진지.
"내선작전 [內線作戰, Operation On Interior Lines]","신속한 기동, 집중 및 분산의 이점을 획득하고 양호한 통신, 짧은 병참선을 이용하여 외부로부터 포위태세로 전진해 오는 적과 대적하고자 하는 작전."
"가시광선 [visible ray, 可視光線, かしこうせん]","가시광선항공우주공학용어사전 육안으로 볼 수 있는 보통 광선. 가시광선의 파장의 범위나 빛은 사람에 따라 다소 다르나 대체로 3,800~7,700 옹스트롬으로 빨강, 주황, 노랑, 초록, 파랑, 남색, 보라색으로 보인다. 빨강색의 파장은 7,000~6,100옹스트롬으로 가장 길며 보라색으로 갈수록 파장이 짧아져서 4,500~4000옹스토롬이 된다. 외국어 표기..."
"합동공중공격반 [合同空中攻擊班, Joint Air Attack Team]","육군의 전투헬기와 공군의 근접항공지원기, 야전포병이 통합하여 연합 및 합동으로 지상부대 통제 하에 전술적 임무를 수행하는 전투부대로서 지상부대 대전차화기의 능력을 초과하거나 사거리 범위를 벗어나는 기갑 및 기계화부대..."
"공개토론 [公開討論, forum]","발표자가 간단히 주제를 발표하면 참가자들은 이에 관련되는 질문과 의견, 평가, 건의 등을 제시하는 토의 방법으로써, 특정 문제에 대해 깊은 의견을 나눌 수 있는 이점이 있음."
"분대 [分隊, Squad, Division]","1. 지상군의 분대(Squad)는 반, 또는 소대 예하 최소전술단위. 2. 해군의 분대(Sivision) 두 척 이상 함정의 행정 또는 전술조직으로서 전술목적에 따라 단대로 더 세분할 수 있음. 3. 공군의 분대(Element)는 2기 항공기로 구성."
"공세적기동전 [攻勢的機動戰, offensive mobile warfare]",가용 전투력을 신속히 집중하여 예기치 않은 방향에서 강력한 최초 타격을 적의 결정적인 부대 및 지역에 가하여 균형을 와해시키고 적의 전 종심에 대하여 신속한 후속타격을 실시하는 공세적인 작전 개념.
패혈증,"패혈증영양학사전 화농균이 혈액이나 임파액 속으로 들어가 심한 중독 현상이나 급성염증을 일으키는 병. 신체의 조직에 세균감염의 병소가 있어, 그곳으로부터 세균이 혈액 중에 흐르기 시작하여, 생체의 방어능력이 약하다든가, 세균의 독성이 강할 때, 다른 조직으로 전이하여 병소를 만들어 간다. 심한 전신감염증이다. 최근에는 항생제의 발달로..."
"경수 [hard water, 硬水, こうすい]","경수간호학대사전 지질에서 유래하는 수중의 칼슘ㆍ마그네슘의 이온량을 이에 대응하는 탄산칼슘의 ppm으로 표시할 때 이 값이 큰 물을 경도가 높다(경수)고 한다. 경수에 비누를 가하면 칼슘염, 마그네슘염의 침전이 생기므로 세탁에는 적합하지 않다. 수도물의 수질기준에서는 경도를 300㎎/ℓ 이하로 하고 있다. 외국어 표기 hard water(영어), 硬..."
"기온경도 [氣溫傾度, Temperature Gradient]","두 공기층에 있어서의 기온차이를 나타낸 것으로써 지상 4m의 기온과 지상 0.5m에서 측정된 기온을 비교함으로써 결정함. 화학작용제 효과계산에 있어서 기온경도 예측은 역전, 체감 및 중립상태로 구분함."
의장,"의장선박항해용어사전 선박의 정상적인 항해기능을 갖추기 위하여 선각(船殼)에 설치하는 항해와 관련된 제반 설비를 말한다. 기관에서 시작하여 항해기기, 하역설비, 접안설비 등이 이에 포함되어 있다. 선박의 크기에 따라 의장수를 결정하여 적합한 규격의 설비를 설치해야한다. 외국어 표기 outfit(영어), fitting(영어), equipment(영어), 艤裝(한자)..."
"견부진지 [肩部陣地, Shoulder Critical Point]",1. 전방 및 측후방을 통제할 수 있고 적의 진출에 있어서 필히 확보되지 않으면 안 되는 요충지. 2. 살상지역을 형성할 수 있고 차후작전을 유리하게 하도록 하는 진지.
"내선작전 [內線作戰, Operation On Interior Lines]","신속한 기동, 집중 및 분산의 이점을 획득하고 양호한 통신, 짧은 병참선을 이용하여 외부로부터 포위태세로 전진해 오는 적과 대적하고자 하는 작전."
베트콩 [Vietcong],월남전 때 월맹(북월남)의 지원을 받아 남부 월남군과 싸웠던 월남민족해방전선.
"해변대 [海邊隊, beach party]",해안대 내의 해군부대로서 상륙주정 및 상륙함선의 중해(中海) 통제와 철수 및 구조가 필요할 때 협조하고 해상에 있는 해군부대와의 통신시설을 제공함.
